Village,District,State,Year,Total_Net_Area,Total_Production,Fields_Count,Yield_std,Yield_min,Yield_max,NDVI_S1,NDVI_S2,NDVI_S3,NDVI_S4,NIR_S1,NIR_S2,NIR_S3,NIR_S4,RED_S1,RED_S2,RED_S3,RED_S4,VH_S1,VH_S2,VH_S3,VH_S4,VV_S1,VV_S2,VV_S3,VV_S4,Kg_per_Hectare
dhodhar,aagar,madhya_pradesh,2024.0,0.3909,329.9299049,4.0,31.8229328734274,826.5,891.962,0.252494879961021,0.504837589812493,0.46332209693052,0.316127146295043,0.30598951858505,0.466357683013075,0.413412825926957,0.367808356191529,0.178982888175178,0.139765454208875,0.145358548404346,0.190527709644028,-18.6627382267751,-17.9843701482462,-18.2438638264909,-18.53713441412,-9.85675751993069,-10.9341803328805,-12.0513619120455,-12.0816560739146,844.026361985162
dongarganv,aagar,madhya_pradesh,2024.0,0.2033,168.010017,2.0,16.0845579516503,814.789,837.536,0.194946301467714,0.362733510430517,0.418870277923969,0.292138960981645,0.270272187476096,0.346117825722039,0.39577046653537,0.351659012041496,0.178261725740893,0.15213959817798,0.154266896418559,0.189332433771935,-19.4863156543232,-17.9032460783404,-17.5072378825767,-18.2152387162297,-10.3457396233808,-9.98190283706503,-11.4822937958774,-11.5059379067745,826.414249877029
durgpura,aagar,madhya_pradesh,2023.0,0.2037,136.7900542,2.0,7.73574818618087,666.006,676.946,0.353713473712949,0.436132596591857,0.379830739732774,0.240166264862653,0.365114721030093,0.434913244136822,0.412803629660811,0.340433545938062,0.167827586770848,0.164111872455993,0.181649846920201,0.207876116923121,-16.3392579908086,-17.4492384147587,-18.4512264345973,-18.379520673829198,-8.89461880007978,-11.1323722281142,-12.0605968130499,-11.8960129328626,671.527021109475
durgpura,aagar,madhya_pradesh,2024.0,0.1022,83.3899878,1.0,46.01483634756405,815.949,815.949,0.3337175480689,0.488776264542958,0.366678582469183,0.188394820766392,0.339712559777301,0.442275867182817,0.350420408931998,0.318667321476208,0.166145312263648,0.142367376891237,0.159867669497177,0.217429255851411,-18.6364129320657,-18.2606005158076,-17.6796884731854,-20.4750531381417,-10.549465169757,-11.5419260159122,-11.4166002161553,-12.2092382116117,815.949
guradiyabadod,aagar,madhya_pradesh,2024.0,0.1003,84.4699519,1.0,46.01483634756405,842.173,842.173,0.222749784105235,0.494446353779886,0.428897102473806,0.241697179298245,0.280963377482407,0.452242582553593,0.386409172245816,0.342772273169663,0.176436759405137,0.144166658594598,0.150327049193869,0.209098115000233,-19.6979569265407,-18.3088690837043,-18.0795802486427,-19.376584969575,-10.2375425073059,-11.279133187413,-12.0828086345976,-12.5506014914061,842.173
jhalarabadod,aagar,madhya_pradesh,2023.0,0.1992,139.1400345,2.0,15.097436885114,687.615,708.966,0.40455107654951,0.460828990852476,0.383379720856144,0.24756185923357,0.395778162827929,0.447937867444151,0.415208312361686,0.36035815082242,0.160683642845709,0.157503561607838,0.180769845004151,0.217090048255963,-15.7909406604247,-16.9267230465385,-16.6240072427998,-18.379520673829198,-8.56994750658901,-10.5887736169402,-10.72992595905,-11.8960129328626,698.494149096386
jhalarabadod,aagar,madhya_pradesh,2024.0,0.2978,282.5598818,3.0,46.4986410697488,909.557,1000.305,0.330360433322003,0.496428300605865,0.382141086792166,0.20015724654605,0.335049923566391,0.448287290616017,0.354702835870519,0.32642953229606,0.165056986141022,0.140721591973806,0.154968130664544,0.217043370889542,-18.6251524425706,-18.0161920610274,-16.9701737971627,-19.6879753278035,-10.3332905936759,-11.3734255941814,-10.837534269624,-12.0313123378237,948.824317662861
jinakhedi,aagar,madhya_pradesh,2023.0,0.4931,335.7200052,5.0,43.0394749410352,611.7,724.38,0.389475283667274,0.472684177836064,0.421716391159513,0.287332893381635,0.371213408764423,0.453409394337863,0.416692496257201,0.36043316568809,0.15508870544586,0.157010776700962,0.16632303391357,0.199871521239596,-15.6965852100907,-17.3749633424582,-18.8880900894314,-18.379520673829198,-8.72113433277072,-11.2734415263006,-12.8894440584741,-11.8960129328626,680.835540863922
jinakhedi,aagar,madhya_pradesh,2024.0,0.2905,245.8799546,3.0,36.5076774984842,820.362,887.857,0.281284076772303,0.518278601156957,0.406803198266236,0.209439986738826,0.298020032420112,0.461494441396879,0.366723544674544,0.328232333902505,0.16286023139527,0.135886396441212,0.151425535434027,0.214543123853242,-19.3363237176126,-18.3284786560556,-17.3563702705393,-19.8514439789387,-10.7549849489581,-11.5313774624631,-11.5196754566461,-12.4017915629262,846.402597590361
kanthaliya,aagar,madhya_pradesh,2024.0,0.1008,78.5500128,1.0,46.01483634756405,779.266,779.266,0.249312632956717,0.353419510956597,0.354371347063448,0.267865445243546,0.302137183416855,0.342957078806351,0.361581923307912,0.33855976815827,0.177615019238027,0.152361256281091,0.163099644237024,0.193564507916925,-18.1955171575084,-17.3600754642547,-17.8674766366454,-18.5583058279738,-9.89730579790862,-9.7622117876871,-11.5318185546629,-11.6706421144267,779.266
kasbabadhod,aagar,madhya_pradesh,2023.0,0.0983,71.0800419,1.0,46.01483634756405,723.093,723.093,0.375605107565788,0.450700413866828,0.395010112604364,0.281237068252981,0.369548148900116,0.434354278384548,0.407071070989491,0.359295066181658,0.161095942482294,0.158164430035434,0.172949952039137,0.201667852168816,-15.7079314702501,-17.1047383077757,-17.873583882764,-18.379520673829198,-8.52793974624722,-10.827907472172,-12.0309950961603,-11.8960129328626,723.093
kasbabadhod,aagar,madhya_pradesh,2024.0,0.098,95.799998,1.0,46.01483634756405,977.551,977.551,0.286874820531201,0.486719309443473,0.39119373067468,0.216687657158945,0.309031506074659,0.438698538636444,0.361056012974101,0.327677932122261,0.167554306214369,0.142291350001364,0.153811951485874,0.210625993739388,-18.7425898046057,-18.1506108218186,-17.196121415293,-19.2321295832017,-10.1899326420357,-11.2576065373872,-11.119310358423,-12.0883916218051,977.551
khajuribadod,aagar,madhya_pradesh,2023.0,0.1036,65.8100352,1.0,46.01483634756405,635.232,635.232,0.306718507889251,0.500310321166684,0.477714484165342,0.434709177824816,0.328674266515818,0.466366756736819,0.465408537666666,0.420397601603786,0.170937747232104,0.150723385884543,0.159761565296655,0.163260337332653,-15.4769269588953,-17.3562451556236,-18.5689488976987,-18.379520673829198,-8.06614979521148,-11.1762649757914,-12.6796352216763,-11.8960129328626,635.232
khandwas,aagar,madhya_pradesh,2023.0,0.1,69.46,1.0,46.01483634756405,694.6,694.6,0.324252698181683,0.397719962935657,0.337068606275521,0.213279403131203,0.356000085598202,0.421072663809137,0.391024566030141,0.335324537244108,0.178047667603298,0.17347724538954,0.1905609313988,0.216993164977357,-16.8190250014711,-18.1931411285829,-19.0795873768088,-18.379520673829198,-9.08673423283984,-11.4088217128908,-12.2477334932587,-11.8960129328626,694.6
khandwas,aagar,madhya_pradesh,2024.0,0.1,95.87,1.0,46.01483634756405,958.7,958.7,0.285714268329875,0.429180309925419,0.335018041143249,0.165515536361144,0.322876978383932,0.40782529541169,0.340429471797709,0.31345720661309,0.176761910757081,0.153193085146917,0.16708198822976,0.223971339751992,-19.2219637172604,-18.757999201505,-18.460273041118,-21.0374189608593,-10.7599082667529,-11.5744340773906,-11.6938023069472,-12.3604980828099,958.7
khindiyakhedi,aagar,madhya_pradesh,2024.0,0.0986,91.55996,1.0,46.01483634756405,928.6,928.6,0.210267236424648,0.320796052692604,0.315131805153481,0.203473424353426,0.292368849527145,0.327271601259478,0.335828894121053,0.310097431572918,0.188204422572252,0.159026872908996,0.16694200372764,0.202768833412723,-18.7615319570983,-17.9384996323281,-18.0828479177067,-18.5170136183368,-10.2843388217329,-9.99936041159637,-11.3123602376176,-11.2232976863307,928.6
kisanpuriya,aagar,madhya_pradesh,2024.0,0.2024,169.9599352,2.0,2.93449314192412,837.648,841.798,0.250323633318597,0.444849132239896,0.354410651008164,0.195934564631537,0.294891915989584,0.403968445103448,0.335810676045341,0.314593384648073,0.173648626181689,0.147000154457681,0.154868627302069,0.21063290732775,-19.3656199227619,-18.1978618242237,-18.1891226748226,-19.6985575373064,-10.6912619965591,-11.1799736195991,-11.4831350412647,-11.8914317073059,839.723
kishankot,aagar,madhya_pradesh,2024.0,0.1012,86.7300192,1.0,46.01483634756405,857.016,857.016,0.260697023614963,0.397056374071771,0.309664708310808,0.161255389356412,0.30380736318541,0.389582145458359,0.321546963787651,0.304989003777958,0.175753749662784,0.151666924657595,0.162927908901295,0.218107565258669,-19.7651518437314,-19.1959950614578,-18.5884690978677,-20.6474559251801,-11.4135631050329,-12.0030419427525,-11.9197555243758,-12.7216554860318,857.016
madkota,aagar,madhya_pradesh,2023.0,0.4013,212.4600537,4.0,96.6875785416617,409.604,639.434,0.226804172322519,0.348640829980985,0.364652809697059,0.321997799950879,0.284625407900419,0.376165367269935,0.373655319478038,0.353223047382176,0.162744480002217,0.156432865562789,0.152391869312798,0.168476961644319,-18.8481932319815,-20.0367026728373,-20.0407937283232,-18.379520673829198,-10.4487730084027,-12.7422194865925,-14.0997964547207,-11.8960129328626,529.429488412659
mahudiyabadod,aagar,madhya_pradesh,2023.0,0.7145,451.3499315,7.0,107.789062661646,392.688,691.142,0.398172074898387,0.494814930521292,0.433130120054471,0.309412584316915,0.379514754633179,0.469042432451211,0.435188748636261,0.375617348001824,0.156087666952494,0.152689438952133,0.16818940969342,0.197700310921068,-15.4049157250411,-17.0726157333582,-17.091059234339,-18.379520673829198,-8.47177560931349,-10.858780404068,-11.3432526253635,-11.8960129328626,631.700393981805
mahudiyabadod,aagar,madhya_pradesh,2024.0,0.4067,332.0499541,4.0,17.1431180847203,794.089,834.359,0.353091591843046,0.542096114460621,0.443748912707504,0.249041063605836,0.343532524767562,0.484683821011096,0.390475340217929,0.339602364481947,0.15839704005753,0.133655276304972,0.146558935849111,0.20345565012828,-18.4635248069507,-17.7728565518021,-17.1134265405892,-19.2036289323387,-10.0001794402012,-11.0163588001489,-11.2142001181151,-12.0304234256286,816.449358495205
nandna,aagar,madhya_pradesh,2024.0,0.1953,172.1199966,2.0,18.2164848969279,868.41,894.172,0.24966389700809,0.470203799326229,0.335424386749043,0.185596696385083,0.274688604130944,0.411614422518351,0.320792881826454,0.287926904064216,0.159172992467558,0.137784847149172,0.153951709064233,0.196596200152293,-19.0613054006439,-18.0023121274612,-18.0925354476499,-20.4544844504392,-9.67779102164742,-10.6526865863068,-11.2605427525573,-12.0997241296594,881.310786482335
pipliyahamir,aagar,madhya_pradesh,2023.0,0.1981,126.26001,2.0,133.431049609902,542.1,730.8,0.273241538564638,0.372662117589141,0.375555573396081,0.291034790438056,0.305178225560552,0.382814993181796,0.366975080625415,0.339759859474856,0.155270030677612,0.154818291871023,0.154209741281104,0.181426246519676,-18.1009051237821,-18.7723254092205,-18.402859094725,-18.379520673829198,-9.92715567012654,-11.8203723991255,-12.3715744287333,-11.8960129328626,637.354921756689
pipliyahamir,aagar,madhya_pradesh,2024.0,0.1,79.34,1.0,46.01483634756405,793.4,793.4,0.19520983005711,0.399512845609504,0.346153682193012,0.227615739315336,0.259301656000529,0.381515965976998,0.334834866251623,0.311386549790864,0.16330373354195,0.13848390055951,0.151432303238035,0.191760904616595,-21.3406852355801,-19.9223201396722,-18.5201591937081,-19.5746203351648,-12.6212761073946,-12.2389040764368,-11.6395161993663,-12.2634250514908,793.4
pipliyavijay,aagar,madhya_pradesh,2023.0,0.1011,69.5099907,1.0,46.01483634756405,687.537,687.537,0.411957517850311,0.52356459714946,0.493657094929555,0.408136119976453,0.380784436373748,0.490243906676102,0.457687888980584,0.399500782705081,0.152350475165788,0.149042632650105,0.152073049860662,0.166018526238406,-15.4993583170277,-17.2803816913849,-18.9504177084236,-18.379520673829198,-8.70294380045467,-11.3161826250503,-13.0899428930893,-11.8960129328626,687.537
pipliyavijay,aagar,madhya_pradesh,2024.0,0.1,84.51,1.0,46.01483634756405,845.1,845.1,0.286684317849971,0.559023577162269,0.482685968930184,0.2787564296123,0.305423124871188,0.490525431891578,0.410445648926525,0.359036366893758,0.16666253528197,0.131023294576214,0.139549523751001,0.202175082590432,-18.5351151276159,-18.0311652124001,-17.4750021816337,-18.7321893875706,-9.65216987975954,-11.4219097204751,-11.7903229724136,-12.247294925112,845.1
ramakhedi,aagar,madhya_pradesh,2023.0,0.6015,401.2900435,6.0,56.5222280983331,573.441,708.243,0.384312019571,0.437073742928616,0.410184757369879,0.311495247375125,0.373339619178975,0.437620806966842,0.414402229145789,0.367269812902703,0.159137836223956,0.164191587134497,0.169247390014252,0.192814371475861,-15.8199513826806,-17.6534460416668,-18.9419548773646,-18.379520673829198,-8.68599516273936,-11.3007369207212,-12.7059234719054,-11.8960129328626,667.148866999169
ramakhedi,aagar,madhya_pradesh,2024.0,0.2994,242.539965,3.0,4.74152918371283,804.637,813.373,0.263086793852462,0.457967456604077,0.399643831414991,0.231219221668619,0.297071678555592,0.426763924967968,0.369179618970715,0.339643152704699,0.168826362131652,0.144154365583072,0.154559721074563,0.211739037984125,-19.4088014771773,-18.6655072344477,-17.5797876701743,-19.3778996037874,-10.2297248347418,-11.255314128657,-11.43938364809,-12.0730879739946,810.086723446894
salyakhedi,aagar,madhya_pradesh,2024.0,0.5969,499.8099312,6.0,12.0531923848691,824.702,856.263,0.172127557641148,0.28573247431482,0.374570530925529,0.294071688707038,0.259706156328753,0.292543583157146,0.368187356522419,0.35038728878601,0.180213233886493,0.156646434388815,0.159605019103556,0.186931162438065,-18.9354320879841,-18.1979235214006,-17.8347893857768,-17.8777655078378,-10.0799473383583,-9.71656982518308,-11.3206439373788,-11.0950123883971,837.342823253476
sangakhedi,aagar,madhya_pradesh,2023.0,2.2845,1510.269872,23.0,74.2153724782606,443.649,732.165,0.34503578697326,0.459536898454037,0.440035231922896,0.380332445539425,0.343781970092428,0.429166346978731,0.412053967265786,0.378665807391265,0.161409853111189,0.152473554778808,0.155424776178393,0.167882929121909,-15.5689680784739,-16.932364401049,-18.0400577224723,-18.379520673829198,-8.39760491339949,-10.7108863748088,-12.0109755395756,-11.8960129328626,661.094275333771
sangakhedi,aagar,madhya_pradesh,2024.0,1.1858,1003.3598729,12.0,56.3210310330767,790.524,952.727,0.249146382013362,0.473046131705981,0.438581970328096,0.297333184628136,0.291551319116818,0.424851769031457,0.384233333699506,0.347666815259333,0.1723280050523,0.141670095186044,0.144454705829313,0.1872086645472,-18.5533908088213,-17.658686720024,-17.1684554339604,-18.1995093021361,-9.59681387805041,-10.68818185465,-10.9900857731272,-11.7063197700225,846.145954545455
singhaliya,aagar,madhya_pradesh,2023.0,0.2068,110.879919,2.0,26.5829723319271,517.391,554.985,0.297031419813274,0.484901545824022,0.459892807588997,0.421782524021445,0.331283438901724,0.456220640002319,0.435994110989607,0.405050529062678,0.17571802685399,0.152700817906596,0.156328953480186,0.161123807899943,-15.5257264434621,-17.3472432949915,-18.6185479908717,-18.379520673829198,-8.20460863510518,-11.1425340547912,-12.7040489696568,-11.8960129328626,536.169821083172
soyatpatti,aagar,madhya_pradesh,2024.0,0.1008,84.3899616,1.0,46.01483634756405,837.202,837.202,0.191208009045643,0.354806007333301,0.435820713603235,0.326830133049497,0.259866108060137,0.32882134674299,0.395984408959748,0.365754451070858,0.172656231961915,0.146771768292941,0.147301012356979,0.182050495906622,-19.0444699489823,-17.6518399923947,-17.7581902791003,-17.9879501621669,-9.95214178073487,-9.6437803776348,-11.5728394243941,-11.5742699019469,837.202
abdullapur,barabanki,uttar_pradesh,2022.0,0.3012,165.3700216,3.0,112.980412055955,447.463,670.968,0.12951533040293,0.0345894554868002,0.407755661617378,0.436758484422608,0.309861502450384,0.664258879849179,0.411110966626197,0.427472512651996,0.238191449478083,0.620256936241333,0.16965634874529,0.165300576632272,-18.6896251672515,-17.6054736472428,-15.5078043758038,-16.4690751325411,-10.323754632098,-9.52052048443584,-9.3619511458813,-11.1042762305305,549.037256308101
abdullapur,barabanki,uttar_pradesh,2023.0,1.5085,912.5300351,15.0,72.5323432382968,445.801,713.434,0.179876317466841,0.350972807100191,0.4253669368806,0.421736260936651,0.324877522418377,0.380437521955642,0.417888350018859,0.412400259549946,0.224782920016953,0.180039551054922,0.165293064207359,0.165972547524373,-18.479556122946,-17.2659810352837,-16.6815392281083,-16.7914985100603,-10.1711569621842,-9.97573001564926,-10.5040208899012,-11.3955904860917,604.925445873384
adampur,barabanki,uttar_pradesh,2023.0,0.3045,228.7499685,3.0,73.9489628617828,666.764,802.759,0.206314006900045,0.419570392928591,0.474807485501972,0.366177556407475,0.331937120607961,0.418194983253739,0.454465539701651,0.388022888616561,0.217963826273265,0.165704540717957,0.156991993435572,0.178174847674696,-18.3469089056553,-16.6277344712431,-16.2656591866844,-16.7142556984983,-9.97558208108804,-9.62777782351601,-9.94520469121058,-10.8222462802614,751.23142364532
adangpur,barabanki,uttar_pradesh,2022.0,1.0935,653.2900086,11.0,40.5238257123342,528.704,661.017,0.116288382861842,0.3890809625007625,0.4003149866712285,0.25170154005968,0.308573421325695,0.39537421287368946,0.39691306040388497,0.363386539811819,0.244033128517694,0.1652317883264195,0.164013470963531,0.215059790165561,-19.7847658364877,-16.1141751829532,-15.6056243005565,-17.0343712190212,-11.1919833036638,-8.59792500168928,-8.4256017253244,-10.3916702222495,597.430277640603
adangpur,barabanki,uttar_pradesh,2023.0,1.5172,1077.3999136,15.0,45.9860719297029,599.423,768.552,0.193393784837059,0.462583677888125,0.440367315129585,0.282538793235949,0.32085842939811,0.486958453554889,0.451464813058569,0.370117696072029,0.216163901667692,0.16728186145679,0.166468188525685,0.204330613491516,-17.8444118216991,-15.9103938762028,-15.860276344033,-17.2072882299181,-9.84144108562914,-8.64028039324722,-8.85635715211098,-10.4457391045836,710.123855523332
ahmadpur,barabanki,uttar_pradesh,2022.0,0.1952,110.950032,2.0,42.468833278064,539.1,599.16,0.158862976657121,0.0376103959439267,0.424974812831612,0.240739174739439,0.311892404782839,0.788360323206557,0.512871229186229,0.353053215887837,0.225395434595258,0.731321477643804,0.193141192820509,0.211642047489645,-19.5279481032484,-16.1540082267932,-15.5595851839517,-16.9974874560156,-10.9195328512046,-8.4749521959202,-8.33745855338015,-10.2966581721837,568.391557377049
ahmadpur,barabanki,uttar_pradesh,2023.0,0.395,268.5099807,4.0,80.2623777925665,616.406,798.908,0.235530376890889,0.478337020910933,0.456555920278451,0.227314579521698,0.337905046988996,0.496378647294863,0.4823698414355,0.350474785242992,0.206633051868475,0.157455987814994,0.165689638310537,0.216664327122101,-17.4740943458731,-15.771806751331,-15.8430496327192,-17.8279195666697,-9.34862462685796,-8.46067628516183,-8.60843071268054,-10.7287343091354,679.772103037975
ajpura,barabanki,uttar_pradesh,2022.0,0.6074,352.2699982,6.0,21.0725339474556,556.0,603.0,0.146609187571202,0.0315843802365649,0.443959179378083,0.447288610620989,0.328096480470646,0.753565188029504,0.442060480493052,0.431285427070524,0.243882693055751,0.707539146107228,0.16627944873782,0.162124461546607,-20.0289198820846,-17.1951839029256,-15.4601083116011,-16.3444908944292,-11.4298366915698,-9.78838710929166,-9.6816789387025,-10.9758835260867,579.963777082647
ajpura,barabanki,uttar_pradesh,2023.0,1.9262,1144.9398884,19.0,40.9999842769189,522.727,681.353,0.215093032362013,0.415836000579936,0.45863668178798,0.421166209448703,0.344866014587544,0.40608588624388,0.44689631519332,0.406578300227567,0.221982050087641,0.164305591916479,0.162150201664259,0.164003889534885,-18.5547745587756,-16.5312161904618,-16.7657135962353,-16.782450955233,-10.5319498447854,-9.99717674147414,-10.9747350935174,-11.3468359349374,594.403430796387
akanpur,barabanki,uttar_pradesh,2022.0,0.7143,391.4898827,7.0,68.2723301973166,469.518,671.787,0.13891949562551,0.0393787594794991,0.449310426616244,0.444615231950324,0.322037050297755,0.708001062718016,0.441669100697234,0.432521705618964,0.24287770713605,0.654687117981434,0.164573159014277,0.164356462380419,-20.2225682024587,-17.1307141001386,-15.5737258402183,-16.0662892186884,-11.5141752390577,-9.59815855204822,-9.75610808242242,-10.6737365528484,548.074874282514
akanpur,barabanki,uttar_pradesh,2023.0,1.9487,1295.8899818,19.0,60.606448159778,533.686,816.299,0.233943332545178,0.424208862289466,0.46740068741312,0.407226455468651,0.345695179607916,0.414782683337754,0.447462765576823,0.404610025578381,0.213009904719606,0.164098561511405,0.158996533439763,0.169265348798825,-18.5662560520959,-16.522647116746,-16.3639720059563,-16.4537102335178,-10.604898514729,-9.79855265278667,-10.5949870171029,-11.0523258175253,665.002299892236
akbarpur,barabanki,uttar_pradesh,2023.0,0.2023,133.610006,2.0,50.4025713629771,625.22,696.5,0.196047565244065,0.427896698699675,0.460617303668515,0.449292327701808,0.337195817549348,0.411924534121678,0.408181803749197,0.423319389433357,0.226308904603055,0.161048242708485,0.147299965236512,0.159003434335914,-19.1876789752827,-16.1351961510219,-16.2260349430578,-17.3229362993981,-10.5810443227877,-9.60041197408595,-10.313519117644,-11.7289093891901,660.454799802274
akhtiyarpur,barabanki,uttar_pradesh,2022.0,0.5017,336.5399378,5.0,17.6616820065361,647.533,694.33,0.167802345551886,0.0481211446142677,0.392641550626692,0.421529120200986,0.338873048698874,0.62920535902845,0.402902587728803,0.42737152831407,0.24164915599059,0.573316660094166,0.173490833888434,0.17221504571659,-19.1630291347438,-18.0623878517167,-15.8127412431161,-16.7693709221525,-10.8182149956795,-10.1143182192314,-9.53467827037664,-11.3401777032617,670.799158461232
akhtiyarpur,barabanki,uttar_pradesh,2023.0,0.9936,713.8599365,10.0,30.4527860621068,665.161,760.758,0.20296429918999,0.309092272530582,0.437110091216615,0.410175045469238,0.33901027299234,0.365895356234026,0.423075137635069,0.419112104857362,0.225374231788312,0.192985190173341,0.162506827117635,0.173491085542975,-18.53522478384,-17.578717375071,-16.8640326393891,-17.2789897983074,-10.4651696574334,-10.2120733717298,-10.9159861448444,-11.6050823537853,718.458068136071
alampurgayaspur,barabanki,uttar_pradesh,2023.0,0.2031,131.1900525,2.0,55.1048314578676,606.225,684.155,0.267386990988323,0.415104370601511,0.456319584755796,0.358384238305392,0.36562407269564,0.412222718005503,0.438749845009305,0.39110421720185,0.210555965735203,0.166857556215233,0.160789407836124,0.184580613619623,-17.7859539423622,-16.1658539974917,-16.1885579468418,-16.967198463936,-10.1436848702075,-9.53716910678712,-10.2558643380369,-11.1671706452068,645.938220088626
aliabad,barabanki,uttar_pradesh,2022.0,0.1004,47.5299624,1.0,46.01483634756405,473.406,473.406,0.234769621362554,0.0313367862015598,0.258314924778609,0.373744829145865,0.331022867994592,0.716220610028878,0.371447533251238,0.384005336324064,0.204270352103277,0.672574890375464,0.213146087841908,0.169935382864265,-18.1465005484727,-17.2104565882645,-15.6068757848883,-16.4759386766685,-10.6913396342,-9.89758908522213,-9.55102587981459,-10.7171066533815,473.406
